Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,VR_Win Rate [%],VR_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,MAX52w_Win Rate [%],MAX52w_SQN,MAX30d_Win Rate [%],MAX30d_SQN,RSI_Win Rate [%],RSI_SQN
いよぎんホールディングス,5830,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
しずおかフィナンシャルグループ,5831,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ちゅうぎんフィナンシャルグループ,5832,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
京都フィナンシャルグループ,5844,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東洋製罐グループホールディングス,5901,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三和ホールディングス,5929,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＬＩＸＩＬ,5938,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
リンナイ,5947,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本発條,5991,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三浦工業,6005,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
テクノプロ・ホールディングス,6028,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
オークマ,6103,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アマダ,6113,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＦＵＪＩ,6134,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
オーエスジー,6136,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＤＭＧ森精機,6141,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
豊田自動織機,6201,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ナブテスコ,6268,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友重機械工業,6302,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日立建機,6305,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
荏原製作所,6361,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
栗田工業,6370,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ダイフク,6383,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
タダノ,6395,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
フジテック,6406,2024-08-16,0,0,0,1,1,0,,,,,5.882352941,-4.672474108,48.64864865,-0.5461035275,,
ＳＡＮＫＹＯ,6417,2024-08-16,0,0,0,1,1,0,,,,,64,1.939374861,65.78947368,2.800252351,,
アマノ,6436,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ブラザー工業,6448,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
グローリー,6457,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
セガサミーホールディングス,6460,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ホシザキ,6465,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本精工,6471,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＮＴＮ,6472,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ジェイテクト,6473,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ミネベアミツミ,6479,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＴＨＫ,6481,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
富士電機,6504,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
安川電機,6506,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ソシオネクスト,6526,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ベイカレント・コンサルティング,6532,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
