Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
カーニバル,CCL,2024-08-16,15.5,19.5,19.7,-0.6,0.0,-0.1,1.5,-6.9,45.9,37.5,45.1,40.1,65.5,50.1,0,0,0,0,0,0
キャリア グローバル,CARR,2024-08-16,67.4,70.1,70.1,0.1,0.0,-0.0,2.2,-3.0,55.0,42.0,56.5,51.9,86.1,63.9,0,0,0,0,0,0
キャタレント,CTLT,2024-08-16,59.5,59.9,74.2,0.7,-0.0,0.1,0.0,-4.5,63.1,37.3,62.4,68.7,186.7,55.7,0,0,0,0,0,0
キャタピラー,CAT,2024-08-16,343.5,369.2,382.0,-0.5,0.3,-2.5,1.5,-3.2,52.6,40.7,54.7,50.9,83.8,57.5,0,0,0,0,0,0
CBOE,CBOE,2024-08-16,202.9,206.8,206.8,6.4,0.1,2.7,1.4,-2.1,64.6,43.7,66.3,69.9,305.0,66.8,0,0,0,0,0,0
CBRE グループ,CBRE,2024-08-16,111.7,114.5,114.5,4.2,-0.1,2.3,2.0,-3.5,67.3,39.6,68.4,68.5,212.2,60.4,0,0,0,0,0,0
CDW,CDW,2024-08-16,222.8,241.3,263.4,-3.0,0.2,-1.8,2.4,-2.8,50.1,42.3,53.8,45.1,134.1,61.6,0,0,0,0,0,0
セラニーズ,CE,2024-08-16,129.1,147.9,172.2,-3.2,-0.0,-2.6,0.3,-3.5,42.2,39.0,42.9,39.4,101.4,57.1,0,0,0,0,0,0
センティーン,CNC,2024-08-16,78.1,78.9,81.4,2.1,0.0,0.8,2.1,-3.2,61.4,39.8,66.6,63.3,146.3,60.3,0,0,0,0,0,0
センターポイント エナジー,CNP,2024-08-16,25.8,30.6,31.6,-0.9,-0.0,-0.5,-1.8,-2.5,35.0,40.5,31.4,32.9,68.1,57.4,0,0,1,0,0,0
CFインダストリーズ ホールディングス,CF,2024-08-16,81.0,81.8,87.9,1.3,0.2,0.6,2.8,-3.9,60.8,40.1,67.4,61.5,110.4,59.8,0,0,0,0,0,0
チャールズ リバー ラボラトリーズ インターナショナル,CRL,2024-08-16,201.9,254.1,275.0,-2.0,-0.8,-1.6,-2.4,-4.0,43.4,39.5,41.1,45.3,68.8,53.3,0,0,0,0,0,0
チャールズシュワブ,SCHW,2024-08-16,65.6,76.7,79.5,-2.0,0.1,-1.6,2.3,-3.8,45.4,39.0,49.6,39.9,49.4,55.0,0,0,0,0,0,1
チャーター コミュニケーションズ,CHTR,2024-08-16,353.3,386.3,458.3,13.9,-0.9,12.9,-0.6,-3.6,58.6,37.5,55.7,60.9,138.4,59.0,0,0,0,0,0,0
シェブロン,CVX,2024-08-16,145.6,162.0,172.4,-2.9,-0.1,-1.5,0.4,-3.0,42.9,39.4,43.1,39.6,85.3,54.0,0,0,0,0,0,0
チポトレ メキシカン グリル,CMG,2024-08-16,52.5,63.0,69.3,-1.4,0.1,-1.8,-1.5,-3.5,42.9,40.5,43.4,42.3,49.1,63.6,0,0,0,0,0,1
チャブ,CB,2024-08-16,273.4,277.9,277.9,2.3,0.0,-0.0,1.1,-2.1,57.7,42.5,60.2,56.7,134.2,68.4,0,0,0,0,0,0
チャーチ アンド ドワイト,CHD,2024-08-16,100.0,106.8,110.3,-0.9,0.0,-1.1,-0.5,-2.2,44.0,40.1,43.4,44.0,108.3,57.4,0,0,0,0,0,0
シグナ グループ,CI,2024-08-16,342.3,355.6,365.7,-0.4,0.1,-1.5,1.9,-2.8,53.0,40.5,55.6,50.1,128.6,68.5,0,0,0,0,0,0
シンシナティ ファイナンシャル,CINF,2024-08-16,131.1,132.7,132.7,2.3,0.0,1.1,1.9,-2.6,61.9,40.6,64.7,61.3,177.4,56.8,0,0,0,0,0,0
シンタス,CTAS,2024-08-16,764.9,774.0,774.0,9.9,-0.2,2.5,0.8,-2.2,61.6,44.0,61.6,61.0,89.7,76.6,0,0,0,0,0,0
シスコ システムズ,CSCO,2024-08-16,49.5,50.3,58.2,-0.2,0.1,0.2,5.6,-2.5,59.3,39.4,65.1,49.0,174.4,60.8,0,0,0,0,0,0
シティグループ,C,2024-08-16,61.4,67.8,67.8,-1.3,0.0,-0.8,2.8,-3.5,49.4,37.5,51.2,43.3,94.1,54.7,0,0,0,0,0,0
シチズンズ ファイナンシャル グループ,CFG,2024-08-16,41.2,44.0,44.0,0.6,-0.0,0.4,2.5,-3.9,59.5,39.0,60.0,56.7,124.8,61.3,0,0,0,0,0,0
クロロックス,CLX,2024-08-16,145.4,146.8,178.2,2.1,0.2,1.2,1.6,-2.5,60.4,38.9,65.7,61.6,154.9,55.0,0,0,0,0,0,0
CME グループ,CME,2024-08-16,207.9,208.3,223.8,1.7,0.2,0.5,1.3,-2.3,57.5,40.2,62.6,58.4,137.7,67.9,0,0,0,0,0,0
CMS エナジー,CMS,2024-08-16,66.4,67.8,67.8,1.3,0.0,0.5,1.2,-2.2,63.5,41.6,66.8,65.3,164.6,65.7,0,0,0,0,0,0
コカ-コーラ,KO,2024-08-16,69.2,69.7,69.7,1.2,-0.0,0.6,1.1,-1.8,66.1,40.8,68.0,66.1,189.7,66.4,0,0,0,0,0,0
コグニザントテクノロジーソリューション A,CTSH,2024-08-16,75.9,80.3,80.3,1.0,-0.0,1.0,1.8,-2.7,59.1,38.7,60.9,57.8,201.4,59.8,0,0,0,0,0,0
コルゲート パルモリーブ,CL,2024-08-16,102.0,104.2,104.2,1.3,-0.0,0.3,0.5,-1.8,58.8,40.4,58.0,59.1,86.8,65.6,0,0,0,0,0,0
コムキャスト,CMCSA,2024-08-16,39.6,41.6,47.5,0.1,-0.0,0.2,0.8,-2.8,52.1,39.7,53.4,51.4,99.9,62.5,0,0,0,0,0,0
コメリカ,CMA,2024-08-16,56.2,58.5,70.0,0.5,0.1,0.3,4.0,-4.4,59.0,39.1,64.2,55.7,87.1,55.5,0,0,0,0,0,0
コナグラ ブランズ,CAG,2024-08-16,30.4,31.4,38.9,0.3,-0.0,0.1,0.6,-2.4,54.4,39.0,55.4,55.9,95.4,56.1,0,0,0,0,0,0
コノコフィリップス,COP,2024-08-16,111.2,118.4,135.2,-1.3,0.1,-1.0,1.5,-3.5,48.5,40.8,52.8,44.8,122.7,56.9,0,0,0,0,0,0
コンソリデーテッド エジソン,ED,2024-08-16,100.1,106.0,106.0,2.2,-0.1,0.9,-0.1,-2.2,60.1,40.7,59.8,65.7,190.6,59.6,0,0,0,0,0,0
コンステレーション ブランズ A,STZ,2024-08-16,245.7,264.5,274.9,-3.0,0.2,-1.9,1.3,-2.2,48.0,40.0,50.6,44.1,141.2,59.5,0,0,0,0,0,0
コパート,CPRT,2024-08-16,51.3,56.1,58.6,-0.7,0.0,-0.7,0.6,-2.7,46.3,42.6,47.7,43.4,70.1,61.6,0,0,0,0,0,0
コーニング,GLW,2024-08-16,40.2,46.4,46.4,-0.5,-0.0,0.0,1.2,-3.0,51.2,40.0,49.0,45.2,78.2,59.6,0,0,0,0,0,0
コルテバ,CTVA,2024-08-16,53.8,56.6,64.0,-0.4,0.0,-0.3,2.5,-3.0,51.8,40.9,55.6,46.3,103.1,64.6,0,0,0,0,0,0
コストコ ホールセール,COST,2024-08-16,870.6,896.7,896.7,1.0,1.6,-3.1,2.0,-2.0,58.5,43.7,61.1,54.1,94.8,62.0,0,0,0,0,0,0
コテラ エナジー,CTRA,2024-08-16,24.0,27.7,29.9,-0.7,0.0,-0.4,-0.7,-3.9,37.6,41.4,36.2,33.7,67.1,60.9,0,0,0,0,0,0
CCI,CCI,2024-08-16,109.8,115.8,136.3,2.5,-0.1,1.7,-0.3,-3.2,58.4,37.3,57.3,62.6,165.6,59.7,0,0,0,0,0,0
CSX,CSX,2024-08-16,33.4,35.6,40.1,-0.0,-0.0,-0.0,-0.7,-2.6,47.7,40.4,46.2,48.8,105.6,56.5,0,0,0,0,0,0
カミンズ,CMI,2024-08-16,301.6,322.8,322.8,3.1,0.1,0.4,2.3,-2.4,56.9,41.1,59.5,55.2,138.8,64.4,0,0,0,0,0,0
CVS ヘルス,CVS,2024-08-16,58.3,63.9,83.2,-0.5,-0.0,0.2,1.5,-2.8,48.2,38.1,50.1,45.8,127.6,56.7,0,0,0,0,0,0
DR ホートン,DHI,2024-08-16,178.0,185.4,185.4,5.7,-0.3,3.0,1.9,-3.2,62.4,42.1,64.1,62.4,131.9,70.7,0,0,0,0,0,0
ダナハー,DHR,2024-08-16,269.3,281.7,281.7,4.2,-0.2,1.1,0.2,-2.9,55.9,41.7,56.4,57.3,122.3,64.8,0,0,0,0,0,0
ダーデン レストランツ,DRI,2024-08-16,143.4,148.9,176.8,-0.8,0.0,-0.6,0.1,-2.8,47.4,40.0,48.7,47.2,85.6,61.9,0,0,0,0,0,0
ダヴィータ,DVA,2024-08-16,150.3,151.6,151.6,0.7,0.4,-0.7,4.0,-3.1,60.4,40.1,66.1,56.0,233.8,63.5,0,0,0,0,0,0
ディア & カンパニー,DE,2024-08-16,377.9,390.3,450.0,-4.7,0.5,-1.6,5.0,-3.0,54.3,40.9,60.5,45.5,105.0,64.4,0,0,0,0,0,0
デルタ エア ラインズ,DAL,2024-08-16,40.2,47.6,53.9,-1.9,0.1,-1.5,0.8,-4.3,40.5,36.9,42.2,35.5,47.6,47.9,0,0,0,0,0,1
デンツプライ シロナ,XRAY,2024-08-16,25.5,28.0,43.2,-0.3,0.0,0.0,2.0,-3.7,47.6,34.7,51.1,44.9,88.5,54.6,0,0,0,0,0,0
デボン エナジー,DVN,2024-08-16,45.1,49.3,56.8,-0.7,0.0,-0.5,0.6,-5.0,46.8,40.1,48.5,44.9,95.3,59.9,0,0,0,0,0,0
