Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MACD_Win Rate [%],MACD_SQN,MAX30d_Win Rate [%],MAX30d_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN
コノコフィリップス,COP,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コンソリデーテッド エジソン,ED,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コンステレーション ブランズ A,STZ,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コパート,CPRT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コーニング,GLW,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コルテバ,CTVA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コストコ ホールセール,COST,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コテラ エナジー,CTRA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CCI,CCI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CSX,CSX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
カミンズ,CMI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CVS ヘルス,CVS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
DR ホートン,DHI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダナハー,DHR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダーデン レストランツ,DRI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダヴィータ,DVA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ディア & カンパニー,DE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
デルタ エア ラインズ,DAL,2024-08-16,0,0,0,0,0,1,,,,,36.0,-0.9587320398292632,,,,,,,,,,,,
デンツプライ シロナ,XRAY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
デボン エナジー,DVN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
デクスコム,DXCM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダイヤモンドバック エナジー,FANG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
DLR,DLR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ディスカバー ファイナンシャル サービス,DFS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダラー ジェネラル,DG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダラー ツリー,DLTR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ドミニオン エナジー,D,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ドミノ ピザ,DPZ,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ドーバー,DOV,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ダウ,DOW,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
DTE エナジー,DTE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
デューク エナジー,DUK,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
デュポン ド ヌムール,DD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
DXCテクノロジー,DXC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
イーストマンケミカル,EMN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
イートン,ETN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
イーベイ,EBAY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エコラボ,ECL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エジソン インターナショナル,EIX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エドワーズライフサイエンス,EW,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エレクトロニック アーツ,EA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
イーライ リリィ,LLY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エマソン エレクトリック,EMR,2024-08-16,0,0,0,0,0,1,,,,,32.142857142857146,0.6344764555138793,,,,,,,,,,,,
エンフェーズ エナジー,ENPH,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エンタジー,ETR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EOG リソーシズ,EOG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エキファックス,EFX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EQIX,EQIX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EQR,EQR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ESS,ESS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エスティ ローダー,EL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エッツィ,ETSY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エバジー,EVRG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エバーソース エナジー,ES,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エクセロン,EXC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エクスペディア グループ,EXPE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エクスペディターズ インターナショナル オブ ワシントン,EXPD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
EXR,EXR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エクソン モービル,XOM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
F5,FFIV,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ファスナル,FAST,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
FRT,FRT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フェデックス,FDX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フィデリティナショナルインフォメーションサービス,FIS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フィフス サード バンコープ,FITB,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ファーストエナジー,FE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
FISV,FISV,2024-08-16,0,0,0,1,0,0,,,,,,,,,85.71428571428571,6.714609843114414,,,,,,,,
FMC,FMC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フォード モーター,F,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フォーティネット,FTNT,2024-08-16,0,0,0,1,0,0,,,,,,,,,68.75,1.9921671114982964,,,,,,,,
フォーティブ,FTV,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フォックス A,FOXA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フォックス B,FOX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フランクリン リソーシズ,BEN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
フリーポート マクモラン,FCX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ギャップ,GPS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ガーミン,GRMN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ガートナー,IT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ジェネラック ホールディングス,GNRC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ゼネラル ダイナミクス,GD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ゼネラル エレクトリック,GE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ゼネラル ミルズ,GIS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ゼネラル モーターズ,GM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ジェニュイン パーツ,GPC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ギリアド サイエンシズ,GILD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
グローバル ペイメンツ,GPN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
グローブ ライフ,GL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ゴールドマン サックス グループ,GS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハリバートン,HAL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ヘインズブランズ,HBI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハスブロ,HAS,2024-08-16,0,0,0,1,0,0,,,,,,,,,37.5,-0.8505649944943274,,,,,,,,
HCA ヘルスケア,HCA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ヘンリー シャイン,HSIC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ヘス,HES,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ヒューレット パッカード エンタープライズ,HPE,2024-08-16,0,0,0,0,0,1,,,,,29.629629629629623,0.0465986647789704,,,,,,,,,,,,
ヒルトン ワールドワイド ホールディングス,HLT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ホロジック,HOLX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ホーム デポ,HD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハネウェル インターナショナル,HON,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ホーメル フーズ,HRL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
HST,HST,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハウメット エアロスペース,HWM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
HP,HPQ,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ヒューマナ,HUM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハンチントン バンクシェアーズ,HBAN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ハンティントン インガルス インダストリーズ,HII,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
インターナショナル ビジネス マシーンズ,IBM,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アイデックス,IEX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
