Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
日本証券金融,8511,2024-07-17,1720.0,1700.0,1740.0,4.9,2.7,-1.8,4.1,-2.2,62.6,44.4,72.6,56.8,171.0,69.0,0,0,0,1,0,0
アイフル,8515,2024-07-17,390.0,397.0,532.0,-4.4,0.5,-6.8,1.0,-3.0,47.1,41.9,51.2,45.2,120.0,58.9,0,0,0,0,0,0
名古屋銀行,8522,2024-07-17,7910.0,7970.0,7970.0,128.8,3.4,19.5,1.7,-3.0,60.9,41.2,63.8,60.6,136.2,59.2,0,0,0,0,0,0
北洋銀行,8524,2024-07-17,517.0,619.0,627.0,-0.2,-0.8,-2.8,-1.7,-3.1,48.8,41.9,42.0,47.3,54.8,63.0,0,0,0,0,0,1
愛媛銀行,8541,2024-07-17,1255.0,1333.0,1333.0,9.7,-1.9,1.6,-0.2,-2.5,52.7,37.1,49.5,52.0,124.2,57.9,0,0,0,0,0,0
京葉銀行,8544,2024-07-17,840.0,910.0,910.0,1.4,-1.1,-0.7,-0.4,-2.6,51.2,41.4,45.5,48.0,61.1,66.1,0,0,0,0,0,1
栃木銀行,8550,2024-07-17,353.0,394.0,398.0,-3.0,-0.2,-3.4,-0.1,-2.9,46.9,42.5,44.6,44.0,51.2,61.3,0,0,0,0,0,1
北日本銀行,8551,2024-07-17,2766.0,2875.0,2875.0,36.7,-2.2,14.6,1.3,-2.6,57.9,41.4,58.7,56.0,99.4,63.3,0,0,0,0,0,0
東和銀行,8558,2024-07-17,688.0,739.0,763.0,1.0,-0.5,-1.7,-0.5,-2.8,49.3,39.2,46.7,49.3,73.7,56.5,0,0,0,0,0,0
リコーリース,8566,2024-07-17,5380.0,5430.0,5580.0,52.9,1.3,-3.8,1.0,-1.6,60.0,43.5,64.5,62.3,273.9,63.5,0,0,0,0,0,0
イオンフィナンシャルサービス,8570,2024-07-17,1388.0,1393.0,1446.0,2.1,2.1,3.3,4.0,-3.2,63.2,40.0,71.9,54.7,203.0,56.1,0,0,0,0,0,0
ジャックス,8584,2024-07-17,4830.0,4915.0,5840.0,-72.7,7.9,-65.3,2.3,-2.0,47.6,43.8,55.8,42.3,119.6,62.8,0,0,0,0,0,0
オリエントコーポレーション,8585,2024-07-17,1031.0,1045.0,1211.0,-2.0,0.2,1.6,0.5,-2.5,49.9,41.0,52.2,48.8,153.0,55.4,0,0,0,0,0,0
オリックス,8591,2024-07-17,3775.0,3735.0,3735.0,71.3,2.0,25.6,2.7,-2.5,67.1,43.9,72.0,66.7,230.6,62.2,0,0,0,1,1,0
三菱ＨＣキャピタル,8593,2024-07-17,1090.5,1102.0,1102.0,12.5,0.3,2.7,1.2,-2.0,60.6,43.3,65.5,61.6,211.4,61.2,0,0,0,0,0,0
ジャフコ　グループ,8595,2024-07-17,2033.5,2038.5,2507.0,27.3,2.6,18.3,3.1,-3.6,65.0,37.3,70.6,62.7,215.8,55.4,0,0,0,0,0,0
トモニホールディングス,8600,2024-07-17,420.0,431.0,537.0,1.5,-0.0,1.0,1.3,-2.7,54.0,42.5,57.3,52.5,193.3,56.4,0,0,0,0,0,0
大和証券グループ本社,8601,2024-07-17,1334.0,1324.5,1324.5,22.1,1.5,6.4,3.7,-2.1,62.6,43.1,67.7,60.5,106.9,65.1,0,0,0,1,1,0
野村ホールディングス,8604,2024-07-17,996.0,998.0,1006.0,9.5,1.2,-5.5,3.0,-2.5,59.3,42.5,64.3,57.3,132.9,59.3,0,0,0,0,0,0
岡三証券グループ,8609,2024-07-17,805.0,833.0,868.0,3.5,0.3,-1.0,2.0,-2.6,55.4,43.3,58.4,52.9,119.8,65.5,0,0,0,0,0,0
丸三証券,8613,2024-07-17,1129.0,1147.0,1185.0,22.7,0.8,-0.3,1.5,-2.7,63.1,39.7,67.9,65.1,126.8,54.6,0,0,0,0,0,0
東洋証券,8614,2024-07-17,417.0,445.0,452.0,5.8,0.9,2.2,3.1,-3.6,58.6,42.9,62.2,57.2,68.9,53.3,0,0,0,0,0,0
東海東京フィナンシャル・ホールディングス,8616,2024-07-17,597.0,614.0,645.0,0.2,0.6,-2.3,2.4,-2.8,55.9,42.8,61.6,52.6,178.3,67.2,0,0,0,0,0,0
水戸証券,8622,2024-07-17,581.0,601.0,601.0,10.7,-0.2,2.9,0.4,-2.8,57.5,41.7,56.9,59.5,114.5,57.7,0,0,0,0,0,0
いちよし証券,8624,2024-07-17,851.0,873.0,886.0,6.0,-0.4,-1.1,0.2,-2.6,54.6,41.6,54.7,54.7,165.9,57.7,0,0,0,0,0,0
松井証券,8628,2024-07-17,848.0,855.0,877.0,8.4,0.0,2.9,0.3,-1.9,59.6,40.5,61.5,63.3,126.5,56.6,0,0,0,0,0,0
ＳＯＭＰＯホールディングス,8630,2024-07-17,3438.0,3595.0,3595.0,57.3,-2.5,-5.0,-0.1,-2.3,55.5,43.6,54.3,57.2,106.3,71.9,0,0,0,0,0,0
日本取引所グループ,8697,2024-07-17,3963.0,4044.0,4344.0,46.4,2.0,-20.3,1.6,-2.8,56.3,41.9,60.0,56.8,116.7,61.6,0,0,0,0,0,0
マネックスグループ,8698,2024-07-17,716.0,782.0,972.0,-15.3,0.6,-18.8,0.4,-5.0,40.8,38.5,42.6,35.4,61.3,56.4,0,0,0,0,0,0
極東証券,8706,2024-07-17,1662.0,1734.0,1824.0,15.2,6.1,-4.8,6.4,-2.7,64.9,39.5,73.7,59.8,218.1,52.4,0,0,0,0,0,0
岩井コスモホールディングス,8707,2024-07-17,2359.0,2388.0,2420.0,15.1,2.4,-10.4,2.3,-2.3,58.5,41.1,63.1,56.8,170.1,57.8,0,0,0,0,0,0
アイザワ証券グループ,8708,2024-07-17,2817.0,3050.0,3050.0,214.5,-1.7,112.5,0.0,-2.5,65.6,43.5,62.2,72.2,254.0,69.9,0,0,0,0,0,0
フィデアホールディングス,8713,2024-07-17,1623.0,1669.0,1729.0,7.4,-0.6,3.5,-0.1,-2.4,52.7,42.3,51.7,53.2,140.0,55.8,0,0,0,0,0,0
池田泉州ホールディングス,8714,2024-07-17,385.0,448.0,449.0,-2.1,-0.1,-4.3,-0.6,-2.6,47.3,42.3,44.4,46.0,65.2,62.9,0,0,0,0,0,0
アニコム　ホールディングス,8715,2024-07-17,683.0,720.0,720.0,15.8,-0.5,10.6,0.2,-3.6,60.0,39.4,59.3,62.5,147.1,58.1,0,0,0,0,0,0
ＭＳ＆ＡＤインシュアランスグループホールディングス,8725,2024-07-17,3759.0,4018.0,4018.0,172.5,-2.1,59.6,0.4,-2.2,64.0,43.4,62.2,68.5,240.1,65.7,0,0,0,0,0,0
スパークス・グループ,8739,2024-07-17,1739.0,1778.0,1969.0,2.1,1.4,-14.5,0.5,-2.9,50.9,40.4,53.4,52.0,112.7,62.1,0,0,0,0,0,0
第一生命ホールディングス,8750,2024-07-17,4627.0,4806.0,4806.0,174.0,-0.4,66.7,0.5,-2.9,63.5,43.0,63.0,68.1,119.0,65.0,0,0,0,0,0,0
東京海上ホールディングス,8766,2024-07-17,6215.0,6679.0,6679.0,245.4,-3.5,80.1,-0.3,-2.1,61.5,45.1,59.0,66.9,144.5,63.7,0,0,0,0,0,0
イー・ギャランティ,8771,2024-07-17,1446.0,1486.0,2463.0,1.7,1.4,-1.8,0.6,-3.6,48.2,40.5,53.8,51.9,180.8,66.7,0,0,0,0,0,0
ＮＥＣキャピタルソリューション,8793,2024-07-17,4360.0,4340.0,4340.0,92.4,2.5,34.0,2.7,-1.9,69.3,43.5,74.8,69.5,244.5,64.2,0,0,0,1,1,0
Ｔ＆Ｄホールディングス,8795,2024-07-17,2878.0,3105.0,3105.0,79.8,-2.1,21.3,-2.0,-3.5,54.4,41.8,52.0,61.0,113.9,63.5,0,0,0,0,0,0
アドバンスクリエイト,8798,2024-07-17,1111.0,1108.0,1261.0,12.0,0.4,10.3,2.3,-2.8,66.1,40.8,75.3,65.3,274.0,45.9,0,0,0,1,0,0
三井不動産,8801,2024-07-17,1584.0,1553.5,1709.5,8.8,2.5,-11.7,4.3,-2.8,59.8,42.2,68.4,56.6,168.1,66.9,0,0,0,1,0,0
三菱地所,8802,2024-07-17,2700.0,2712.0,3082.0,-2.3,5.0,-35.8,3.2,-2.3,55.9,41.7,62.2,53.0,96.4,58.8,0,0,0,0,0,0
平和不動産,8803,2024-07-17,3965.0,4010.0,4375.0,15.9,0.5,6.0,0.7,-2.5,53.4,42.7,56.0,54.2,110.6,62.6,0,0,0,0,0,0
東京建物,8804,2024-07-17,2725.5,2727.0,2742.0,32.6,3.5,0.4,2.9,-2.5,60.8,42.8,66.9,59.5,177.2,68.1,0,0,0,0,0,0
京阪神ビルディング,8818,2024-07-17,1850.0,1879.0,1879.0,47.5,2.0,24.1,3.4,-2.8,63.2,41.2,66.1,63.0,123.5,58.0,0,0,0,0,0,0
住友不動産,8830,2024-07-17,5138.0,5171.0,6062.0,3.9,9.9,-58.3,3.2,-3.0,55.5,41.2,61.6,53.4,141.9,58.8,0,0,0,0,0,0
レオパレス２１,8848,2024-07-17,537.0,548.0,579.0,1.5,0.5,-3.2,2.4,-5.0,55.5,39.4,58.8,52.8,107.4,60.7,0,0,0,0,0,0
スターツコーポレーション,8850,2024-07-17,3345.0,3500.0,3645.0,-11.3,-0.7,-21.9,0.2,-2.4,49.5,42.1,48.5,47.4,54.1,62.8,0,0,0,0,0,1
