Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,Price_1d,PL_1d,Price_3d,PL_3d,Price_7d,PL_7d,Price_14d,PL_14d,Price_21d,PL_21d,Price_28d,PL_28d,Price_60d,PL_60d,Resi_Price,Price_2d,PL_2d,Price_4d,PL_4d,Price_5d,PL_5d,Price_6d,PL_6d,Price_8d,PL_8d,Price_9d,PL_9d,Price_10d,PL_10d,Price_11d,PL_11d,Price_12d,PL_12d,Price_13d,PL_13d,Price_20d,PL_20d,Price_22d,PL_22d,Price_27d,PL_27d,Price_29d,PL_29d,Price_59d,PL_59d,Price_61d,PL_61d
アンシス,ANSS,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.5163958413141729,67.74193548387096,1.8069810581977663,65.78947368421053,2.151961585060919,63.41463414634146,1.4176090725914967,0.0,-10.061676276671877,55.00000000000001,1.7090340377020512,62.66666666666667,2.423231082437491,58.333333333333336,0.2190840975838311,46.42857142857143,-0.9801676691706338,341.1,0.0,340.8,-0.1,342.5,0.4,331.7,-2.8,,,,,,,,,,341.5,0.1,343.7,0.8,339.0,-0.6,331.5,-2.8,331.7,-2.8,337.4,-1.1,342.4,0.4,348.4,2.1,347.0,1.7,348.8,2.2574025212547606,,,,,,,,,,,,
エイピーエイ,APA,2024-11-07,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62.5,0.960904152126584,58.333333333333336,1.1394430251274088,46.51162790697674,1.198804857623299,38.63636363636363,1.0798116333541747,66.66666666666666,1.1299872559676067,45.94594594594595,0.5396430523409732,41.66666666666667,-0.4577501794480683,36.66666666666666,0.0136878250999444,38.88888888888889,-0.7443701671309679,21.9,0.0,21.1,-3.7,21.9,0.0,22.3,1.8,,,,,,,,,,21.4,-2.3,21.4,-2.3,22.1,0.9,22.2,1.4,21.9,0.0,22.0,0.5,22.2,1.4,22.3,1.8,22.4,2.3,22.2,1.3698630136986336,,,,,,,,,,,,
アプティブ,APTV,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,0.0,40.0,-0.2375092464190361,65.0,0.982415467691766,37.5,0.7093697302413033,50.0,1.754615414397298,0.0,-6.782417595562197,26.1904761904762,-0.9894094159175468,43.44827586206896,0.5032129784693751,36.66666666666666,0.1630635029926617,34.78260869565217,-1.8338033644709704,54.1,0.0,54.6,0.9,55.1,1.8,52.2,-3.5,,,,,,,,,,55.6,2.8,55.6,2.8,54.0,-0.2,52.1,-3.7,51.5,-4.8,51.9,-4.1,52.0,-3.9,53.3,-1.5,55.5,2.6,54.9,1.4787430683918616,,,,,,,,,,,,
アリスタ ネットワークス,ANET,2024-11-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,3.157713739938908,100.0,6.316292867056863,64.47368421052632,4.530526044619697,70.0,3.9040133353193234,64.70588235294117,3.871793432419521,80.64516129032258,4.434676138791704,64.90066225165563,6.351846020347257,61.66666666666667,3.2928283921875203,59.64912280701754,3.4756559754917857,92.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バクスター インターナショナル,BAX,2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.5,-1.1363283240489062,66.66666666666666,0.9928277685386556,36.36363636363637,-0.5108976300144519,42.30769230769231,0.8134234141802782,0.0,0.0,47.5,-0.3365021979926063,40.689655172413794,-3.5771508183119574,38.333333333333336,-1.5832247512211837,26.08695652173913,-2.4185852136384,35.1,0.0,33.8,-3.7,33.5,-4.6,31.8,-9.4,,,,,,,,,,33.9,-3.4,32.6,-7.1,31.6,-10.0,31.6,-10.0,32.3,-8.0,31.8,-9.4,32.3,-8.0,33.0,-6.0,33.2,-5.4,32.8,-6.552706552706565,,,,,,,,,,,,
ベクトン ディッキンソン,BDX,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,1.0,46.66666666666666,0.6345071076164822,77.77777777777779,1.437699062665824,73.68421052631578,3.613512398549895,74.28571428571429,3.229437051618272,0.0,-4.907565037745015,71.42857142857143,2.550333342435726,51.89873417721519,-0.2165993331698105,53.333333333333336,0.7405251739794941,37.5,-1.6467982375090362,226.8,0.0,226.2,-0.3,231.1,1.9,224.0,-1.2,,,,,,,,,,232.0,2.3,229.1,1.0,225.5,-0.6,223.5,-1.5,220.5,-2.8,220.8,-2.6,221.0,-2.6,223.1,-1.6,223.9,-1.3,222.7,-1.8077601410934845,,,,,,,,,,,,
バイオジェン,BIIB,2024-11-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.5,1.8815088397130044,42.85714285714285,-0.2326262006818189,60.24096385542169,3.134069992488996,59.25925925925925,2.8272441631293,0.0,-3.1650289454018705,55.81395348837209,1.7534697258842002,51.31578947368421,3.021944505279832,53.333333333333336,2.2555347982515497,26.31578947368421,-0.9144248246972574,172.8,0.0,171.6,-0.7,167.7,-3.0,157.4,-8.9,,,,,,,,,,171.1,-1.0,165.5,-4.2,163.4,-5.4,159.6,-7.6,155.3,-10.1,153.6,-11.1,154.7,-10.5,157.3,-9.0,158.4,-8.3,156.1,-9.664351851851862,,,,,,,,,,,,
ブラックロック,BLK,2024-11-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,13.123216221073392,78.125,3.528909527851238,57.3170731707317,2.38609275276636,39.39393939393939,0.7665385133338778,33.33333333333333,-1.124334940350235,40.0,1.210423663593334,67.70186335403726,3.00288222533753,60.0,2.390457348472616,43.24324324324324,-0.5142090608002904,1032.4,0.0,1036.7,0.4,1033.6,0.1,1037.4,0.5,,,,,,,,,,1047.5,1.5,1026.2,-0.6,1037.2,0.5,1035.0,0.3,1027.6,-0.5,1018.0,-1.4,1024.6,-0.8,1028.5,-0.4,1030.6,-0.2,1018.2,-1.375435877566839,,,,,,,,,,,,
ケイデンス デザイン システムズ,CDNS,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,6.575028474444065,95.23809523809524,7.069550396103094,79.26829268292683,6.573462821806216,82.85714285714286,5.050134695486796,55.55555555555556,0.9991284812232856,66.66666666666666,2.021370081616801,74.375,4.910413461055643,65.0,3.256097596030878,57.44680851063831,1.6212794426653492,297.7,0.0,299.5,0.6,295.5,-0.7,288.8,-3.0,,,,,,,,,,296.3,-0.5,295.6,-0.7,299.6,0.6,287.5,-3.4,290.0,-2.6,296.1,-0.5,301.0,1.1,307.0,3.1,309.1,3.8,310.5,4.299630500503867,,,,,,,,,,,,
キャンベル スープ,CPB,2024-11-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,77.77777777777779,2.310273257528632,58.06451612903226,1.1633028417720268,68.0,3.946764667189036,57.77777777777777,1.879780561822332,33.33333333333333,-0.950940981581674,68.18181818181817,2.86655894520378,68.32298136645963,2.17291568472738,56.66666666666666,1.5784754108367838,64.0,0.4276121157301344,45.0,0.0,44.9,-0.2,43.8,-2.7,43.1,-4.2,,,,,,,,,,44.6,-0.9,43.8,-2.7,44.3,-1.6,42.7,-5.1,42.9,-4.7,43.4,-3.6,43.4,-3.6,44.5,-1.1,45.4,0.9,46.0,2.2222222222222223,,,,,,,,,,,,
キャリア グローバル,CARR,2024-11-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,5.293720642110598,42.85714285714285,2.308460739657713,61.53846153846154,5.956822280419279,72.09302325581395,4.692041081049749,55.55555555555556,1.4465484329481038,57.89473684210527,2.450621694340064,71.32352941176471,7.031542220276632,67.9245283018868,4.0438748367366095,50.0,0.9341495845988012,74.9,0.0,75.3,0.5,75.1,0.3,73.9,-1.3,,,,,,,,,,76.0,1.5,76.2,1.7,74.9,0.0,74.0,-1.2,73.3,-2.1,74.1,-1.1,74.5,-0.5,75.9,1.3,77.4,3.3,76.2,1.7356475300400496,,,,,,,,,,,,
CBOE,CBOE,2024-11-07,0.0,1.0,0.0,0.0,0.0,0.0,1.0,85.71428571428571,3.1375527957377254,93.75,6.137260615759374,76.66666666666667,5.716759685364931,73.91304347826086,2.8387324548836217,59.09090909090909,2.820345154378146,60.0,2.238140585255836,63.81578947368421,4.576703148121815,75.0,3.5896519829960427,69.04761904761905,4.027709084173206,199.3,0.0,196.7,-1.3,197.5,-0.9,201.3,1.0,,,,,,,,,,195.7,-1.8,195.6,-1.9,197.3,-1.0,197.5,-0.9,204.1,2.4,205.0,2.9,208.5,4.6,209.8,5.3,211.2,6.0,210.2,5.4691419969894515,,,,,,,,,,,,
